Timestamp,LeftGazeValid,LeftGazePosX,LeftGazePosY,LeftGazePosZ,LeftGazeRotX,LeftGazeRotY,LeftGazeRotZ,LeftGazeRotW,RightGazeValid,RightGazePosX,RightGazePosY,RightGazePosZ,RightGazeRotX,RightGazeRotY,RightGazeRotZ,RightGazeRotW
0.000,True,-0.012123,0.896110,0.168805,0.035555,-0.003058,0.005442,-0.999348,True,0.052873,0.895477,0.169191,0.019278,-0.037675,0.008179,-0.999071
0.016,True,-0.012160,0.896071,0.168704,0.035288,-0.001954,0.005323,-0.999361,True,0.052836,0.895450,0.169161,0.019255,-0.037118,0.008095,-0.999093
0.026,True,-0.012098,0.896138,0.168828,0.035162,-0.001545,0.005452,-0.999366,True,0.052897,0.895502,0.169338,0.019124,-0.036708,0.008214,-0.999109
0.037,True,-0.012146,0.896126,0.168800,0.035113,-0.001235,0.005514,-0.999367,True,0.052849,0.895483,0.169349,0.018741,-0.035430,0.008191,-0.999163
0.048,True,-0.012112,0.896220,0.168940,0.035059,-0.000826,0.005592,-0.999369,True,0.052882,0.895569,0.169542,0.018683,-0.035020,0.008261,-0.999178
0.059,True,-0.012165,0.896228,0.168921,0.034478,0.000622,0.005508,-0.999390,True,0.052828,0.895578,0.169573,0.018581,-0.034631,0.008253,-0.999193
0.071,True,-0.012223,0.896224,0.168917,0.034570,0.001006,0.005567,-0.999386,True,0.052770,0.895568,0.169618,0.018923,-0.033322,0.008238,-0.999232
0.082,True,-0.012159,0.896300,0.169064,0.034624,0.001332,0.005535,-0.999384,True,0.052834,0.895649,0.169806,0.018979,-0.032997,0.008202,-0.999242
0.093,True,-0.012210,0.896291,0.169079,0.033956,0.002297,0.005556,-0.999405,True,0.052782,0.895632,0.169864,0.019028,-0.032669,0.008275,-0.999251
0.105,True,-0.012261,0.896279,0.169082,0.033911,0.002635,0.005781,-0.999405,True,0.052730,0.895592,0.169910,0.018879,-0.031388,0.008419,-0.999294
