Timestamp,LeftDiameterValid,LeftPupilDiameter,LeftPositionValid,LeftPupilPosX,LeftPupilPosY,RightDiameterValid,RightPupilDiameter,RightPositionValid,RightPupilPosX,RightPupilPosY
0.000,True,4.000,True,0.466410,0.466484,True,4.000,True,0.514262,0.489392
0.016,True,4.000,True,0.466410,0.466484,True,4.000,True,0.514262,0.489392
0.026,True,4.000,True,0.466263,0.466615,True,4.000,True,0.514262,0.489392
0.037,True,4.000,True,0.466263,0.466615,True,4.000,True,0.514326,0.489410
0.048,True,4.000,True,0.466263,0.466615,True,4.000,True,0.514326,0.489410
0.059,True,4.000,True,0.466367,0.466810,True,4.000,True,0.514326,0.489410
0.071,True,4.000,True,0.466367,0.466810,True,4.000,True,0.514735,0.489551
0.082,True,4.000,True,0.466367,0.466810,True,4.000,True,0.514735,0.489551
0.093,True,4.000,True,0.466577,0.467300,True,4.000,True,0.514735,0.489551
0.105,True,4.000,True,0.466577,0.467300,True,4.000,True,0.515047,0.489418
0.115,True,4.000,True,0.466577,0.467300,True,4.000,True,0.515047,0.489418
0.126,True,4.000,True,0.466908,0.467177,True,4.000,True,0.515047,0.489418
0.137,True,4.000,True,0.466908,0.467177,True,4.000,True,0.515521,0.489025
0.148,True,4.000,True,0.466908,0.467177,True,4.000,True,0.515521,0.489025
0.161,True,4.000,True,0.467620,0.467209,True,4.000,True,0.515521,0.489025
0.170,True,4.000,True,0.467620,0.467209,True,4.000,True,0.516046,0.488645
0.182,True,4.000,True,0.467620,0.467209,True,4.000,True,0.516046,0.488645
0.193,True,4.000,True,0.468027,0.467145,True,4.000,True,0.516046,0.488645
0.204,True,4.000,True,0.468027,0.467145,True,4.000,True,0.516332,0.488540
0.215,True,4.000,True,0.468266,0.467621,True,4.000,True,0.516332,0.488540
0.226,True,4.000,True,0.468266,0.467621,True,4.000,True,0.516332,0.488540
0.237,True,4.000,True,0.468266,0.467621,True,4.000,True,0.516467,0.488445
0.248,True,4.000,True,0.468266,0.467621,True,4.000,True,0.516467,0.488445
0.259,True,4.000,True,0.468309,0.467916,True,4.000,True,0.516467,0.488445
0.270,True,4.000,True,0.468309,0.467916,True,4.000,True,0.516821,0.488413
