Timestamp,PositionX,PositionY,PositionZ
0.000000,-1.020000,2.353000,0.890000
0.044356,-0.992392,2.402358,1.203129
0.093992,-0.969261,2.440546,1.465492
0.148911,-0.943303,2.477144,1.759910
0.195048,-0.914486,2.507462,2.086756
0.250337,-0.890217,2.524128,2.362010
0.300059,-0.861088,2.531022,2.692393
0.350408,-0.834890,2.526708,2.989539
0.395879,-0.808387,2.512651,3.290140
0.446974,-0.784486,2.493269,3.561222
0.501924,-0.757658,2.467225,3.865507
0.548418,-0.757658,2.467225,3.865507
0.603532,-0.757658,2.467225,3.865507
0.657562,-0.757658,2.467225,3.865507
0.704213,-0.757658,2.467225,3.865507
0.750463,-0.790464,2.513381,3.591389
0.800846,-0.824276,2.551578,3.318618
0.855254,-0.863870,2.576585,3.019970
0.901581,-0.893591,2.574256,2.694888
0.956630,-0.910189,2.548608,2.418612
1.007504,-0.921750,2.487629,2.094199
1.058405,-0.944097,2.411612,1.799420
1.103797,-0.944097,2.411612,1.799420
1.154659,-0.944097,2.411612,1.799420
1.210145,-0.944097,2.411612,1.799420
1.256263,-0.944097,2.411612,1.799420
1.310979,-0.675433,2.452284,1.851681
1.361837,-0.357509,2.470847,1.931434
1.412681,-0.067797,2.460386,2.026675
1.458472,0.220412,2.419537,2.117949
1.509243,0.473975,2.358543,2.204393
1.564316,0.746724,2.264182,2.301865
1.610103,1.038943,2.156306,2.412123
1.664294,1.038943,2.156306,2.412123
1.714206,1.038943,2.156306,2.412123
1.765056,1.038943,2.156306,2.412123
1.810276,1.038943,2.156306,2.412123
1.860804,0.929304,2.217317,2.629297
1.915919,0.803686,2.279453,2.876456
1.960768,0.656581,2.329567,3.142538
2.011649,0.510308,2.348289,3.355425
2.061526,0.304508,2.340588,3.580785
2.111465,0.099766,2.312491,3.797230
2.162179,-0.139063,2.272995,3.973808
2.217419,-0.389648,2.249499,4.020747
2.263600,-0.389648,2.249499,4.020747
2.314318,-0.389648,2.249499,4.020747
2.375712,-0.389648,2.249499,4.020747
2.418546,-0.389648,2.249499,4.020747
2.465659,-0.252835,2.288428,3.826325
2.520397,-0.090215,2.328571,3.598621
2.566036,0.100497,2.363761,3.333564
2.616232,0.259525,2.378449,3.111125
2.671295,0.421061,2.371252,2.857033
2.717648,0.577439,2.336139,2.568138
2.767452,0.704315,2.287081,2.325556
2.818552,0.805390,2.219666,2.052540
2.868266,0.874134,2.166499,1.807693
2.918310,0.874134,2.166499,1.807693
2.973791,0.874134,2.166499,1.807693
3.019110,0.874134,2.166499,1.807693
3.069047,0.874134,2.166499,1.807693
3.124768,0.829957,2.269024,2.047889
3.171692,0.777158,2.366433,2.318577
3.222113,0.714549,2.416544,2.580749
3.277486,0.653048,2.414965,2.857110
3.323360,0.632573,2.368566,3.145175
3.373284,0.625219,2.352643,3.247911
3.429132,0.625219,2.352643,3.247911
3.475074,0.625219,2.352643,3.247911
3.525160,0.625219,2.352643,3.247911
3.575809,0.625219,2.352643,3.247911
3.627041,0.388949,2.413911,3.286586
3.677653,0.134886,2.449161,3.357256
3.733042,-0.141347,2.434070,3.482496
3.778177,-0.427602,2.354098,3.631186
3.829203,-0.649245,2.256342,3.752247
3.884081,-0.758336,2.183345,3.811359
3.931009,-0.758336,2.183345,3.811359
3.981358,-0.758336,2.183345,3.811359
4.036541,-0.758336,2.183345,3.811359
4.083239,-0.758336,2.183345,3.811359
4.133100,-0.621981,2.301118,3.717968
4.191926,-0.487372,2.393723,3.670943
4.234489,-0.363419,2.326630,3.672000
4.284964,-0.363419,2.326630,3.672000
4.340542,-0.363419,2.326630,3.672000
4.385561,-0.363419,2.326630,3.672000
4.436488,-0.363419,2.326630,3.672000
4.491247,-0.363419,2.326630,3.672000
4.536808,-0.120349,2.379539,3.713423
4.587458,0.111757,2.396901,3.723840
4.642997,0.384076,2.350152,3.716620
4.688327,0.641512,2.198286,3.661742
4.738528,0.719689,2.117546,3.566101
4.793816,0.719689,2.117546,3.566101
4.839036,0.719689,2.117546,3.566101
4.889920,0.719689,2.117546,3.566101
4.944276,0.719689,2.117546,3.566101
4.990425,0.599197,2.200152,3.309289
5.040282,0.555224,2.261748,3.054666
