Timestamp,LeftGazeValid,LeftGazePosX,LeftGazePosY,LeftGazePosZ,LeftGazeRotX,LeftGazeRotY,LeftGazeRotZ,LeftGazeRotW,RightGazeValid,RightGazePosX,RightGazePosY,RightGazePosZ,RightGazeRotX,RightGazeRotY,RightGazeRotZ,RightGazeRotW
0.000,True,-0.039322,1.116738,-0.032960,0.013342,0.014840,0.015867,-0.999675,True,0.018292,1.122743,-0.032605,0.003042,0.001980,0.015976,-0.999866
0.011,True,-0.039356,1.116740,-0.032931,0.012609,0.014670,0.015697,-0.999690,True,0.018256,1.122765,-0.032573,0.003104,0.002018,0.015807,-0.999868
0.021,True,-0.039410,1.116720,-0.033029,0.012575,0.014746,0.015582,-0.999691,True,0.018201,1.122758,-0.032662,0.003079,0.002096,0.015690,-0.999870
0.033,True,-0.039440,1.116708,-0.033015,0.012526,0.014852,0.015542,-0.999690,True,0.018170,1.122751,-0.032635,0.008739,0.004688,0.015641,-0.999829
0.044,True,-0.039491,1.116684,-0.033084,0.012330,0.016114,0.015516,-0.999674,True,0.018119,1.122729,-0.032699,0.008747,0.004728,0.015628,-0.999829
0.055,True,-0.039528,1.116663,-0.033097,0.012261,0.016196,0.015520,-0.999673,True,0.018082,1.122707,-0.032703,0.008689,0.004814,0.015631,-0.999829
0.066,True,-0.039553,1.116622,-0.033070,0.012268,0.016200,0.015471,-0.999674,True,0.018056,1.122671,-0.032675,0.018859,-0.002346,0.015690,-0.999696
0.077,True,-0.039570,1.116639,-0.033045,0.011877,0.016308,0.015542,-0.999676,True,0.018039,1.122681,-0.032632,0.018466,-0.002238,0.015755,-0.999703
0.088,True,-0.039654,1.116645,-0.033134,0.012261,0.015134,0.015564,-0.999689,True,0.017956,1.122686,-0.032726,0.019680,-0.002839,0.015780,-0.999678
0.099,True,-0.039678,1.116632,-0.033106,0.012307,0.015191,0.015422,-0.999690,True,0.017930,1.122688,-0.032693,0.038652,-0.001940,0.015689,-0.999128
0.110,True,-0.039714,1.116635,-0.033158,0.013014,0.015272,0.015424,-0.999680,True,0.017894,1.122691,-0.032742,0.039731,-0.002117,0.015696,-0.999085
0.121,True,-0.039738,1.116647,-0.033145,0.013033,0.015273,0.015464,-0.999679,True,0.017871,1.122699,-0.032730,0.041408,-0.002447,0.015745,-0.999015
0.133,True,-0.039757,1.116643,-0.033110,0.013006,0.015277,0.015434,-0.999680,True,0.017851,1.122699,-0.032693,0.062467,0.006749,0.015674,-0.997901
0.144,True,-0.039796,1.116646,-0.033160,0.014042,0.015732,0.015444,-0.999658,True,0.017813,1.122700,-0.032735,0.062498,0.006831,0.015688,-0.997898
0.155,True,-0.039820,1.116660,-0.033151,0.014025,0.015701,0.015512,-0.999658,True,0.017789,1.122706,-0.032730,0.055055,0.009069,0.015711,-0.998319
0.166,True,-0.039817,1.116660,-0.033122,0.013863,0.015803,0.015539,-0.999658,True,0.017792,1.122704,-0.032686,0.054608,0.009257,0.015739,-0.998341
0.177,True,-0.039821,1.116649,-0.033103,0.011392,0.014095,0.015497,-0.999716,True,0.017788,1.122699,-0.032668,0.054325,0.009325,0.015685,-0.998357
0.188,True,-0.039831,1.116673,-0.033147,0.010845,0.013788,0.015597,-0.999724,True,0.017779,1.122711,-0.032704,0.046788,-0.001947,0.015884,-0.998777
0.199,True,-0.039840,1.116667,-0.033119,0.010670,0.013549,0.015704,-0.999728,True,0.017772,1.122693,-0.032683,0.046881,-0.002003,0.015989,-0.998771
0.210,True,-0.039839,1.116672,-0.033091,0.010856,0.014000,0.015818,-0.999718,True,0.017774,1.122685,-0.032656,0.046882,-0.002015,0.016106,-0.998769
0.221,True,-0.039885,1.116688,-0.033216,0.010860,0.014010,0.015883,-0.999717,True,0.017729,1.122694,-0.032779,0.053050,-0.006671,0.016239,-0.998438
0.233,True,-0.039868,1.116678,-0.033149,0.010910,0.014013,0.015841,-0.999717,True,0.017745,1.122688,-0.032713,0.053101,-0.006670,0.016199,-0.998436
0.244,True,-0.039869,1.116672,-0.033137,0.013252,0.013156,0.015850,-0.999700,True,0.017744,1.122683,-0.032701,0.053080,-0.006675,0.016190,-0.998437
0.255,True,-0.039899,1.116664,-0.033183,0.013250,0.013133,0.015792,-0.999701,True,0.017713,1.122681,-0.032750,0.053078,-0.006698,0.016131,-0.998438
0.266,True,-0.039916,1.116642,-0.033179,0.013226,0.013107,0.015677,-0.999704,True,0.017694,1.122672,-0.032748,0.041790,-0.014808,0.016065,-0.998888
0.277,True,-0.039906,1.116634,-0.033176,0.014179,0.012498,0.015682,-0.999698,True,0.017705,1.122665,-0.032744,0.041874,-0.014796,0.016064,-0.998884
0.288,True,-0.039920,1.116622,-0.033211,0.014197,0.012481,0.015651,-0.999699,True,0.017690,1.122657,-0.032781,0.041889,-0.014816,0.016033,-0.998884
0.299,True,-0.039929,1.116611,-0.033192,0.014235,0.012521,0.015696,-0.999697,True,0.017682,1.122640,-0.032758,0.043867,-0.024404,0.016186,-0.998608
0.310,True,-0.039934,1.116614,-0.033162,0.014226,0.009675,0.015826,-0.999727,True,0.017678,1.122633,-0.032729,0.043830,-0.024427,0.016284,-0.998608
0.321,True,-0.039969,1.116594,-0.033206,0.014262,0.009861,0.015592,-0.999728,True,0.017640,1.122640,-0.032752,0.043870,-0.024240,0.016057,-0.998614
0.332,True,-0.039997,1.116548,-0.033187,0.014335,0.009986,0.015482,-0.999728,True,0.017611,1.122606,-0.032719,0.040488,-0.018433,0.015882,-0.998884
0.344,True,-0.040012,1.116541,-0.033171,0.010512,0.010268,0.015501,-0.999772,True,0.017596,1.122596,-0.032684,0.040350,-0.018013,0.015919,-0.998896
0.355,True,-0.040066,1.116587,-0.033179,0.010414,0.010419,0.015543,-0.999771,True,0.017542,1.122637,-0.032672,0.040116,-0.017639,0.015961,-0.998912
0.366,True,-0.040074,1.116608,-0.033138,0.010359,0.010474,0.015750,-0.999767,True,0.017537,1.122634,-0.032624,0.039970,-0.017449,0.016165,-0.998918
0.377,True,-0.040082,1.116606,-0.033133,0.010293,0.010488,0.016088,-0.999763,True,0.017533,1.122594,-0.032616,0.042215,-0.010683,0.016440,-0.998916
0.388,True,-0.040089,1.116594,-0.033136,0.009940,0.009405,0.016276,-0.999774,True,0.017528,1.122561,-0.032619,0.042165,-0.010689,0.016617,-0.998915
0.399,True,-0.040072,1.116592,-0.033106,0.009796,0.009374,0.016257,-0.999776,True,0.017545,1.122561,-0.032590,0.042023,-0.010713,0.016595,-0.998921
0.410,True,-0.040061,1.116568,-0.033119,0.009746,0.009380,0.016018,-0.999780,True,0.017553,1.122565,-0.032601,0.048609,-0.015491,0.016428,-0.998563
0.421,True,-0.040058,1.116562,-0.033136,0.004526,0.007636,0.015922,-0.999834,True,0.017554,1.122569,-0.032620,0.048420,-0.015528,0.016329,-0.998573
0.433,True,-0.040031,1.116528,-0.033142,0.004505,0.007621,0.015824,-0.999836,True,0.017581,1.122546,-0.032627,0.048407,-0.015535,0.016231,-0.998575
0.446,True,-0.040013,1.116532,-0.033193,0.004418,0.007434,0.015816,-0.999838,True,0.017599,1.122552,-0.032698,0.044563,-0.012702,0.016171,-0.998795
0.457,True,-0.039988,1.116499,-0.033211,0.003181,0.006128,0.015757,-0.999852,True,0.017623,1.122526,-0.032732,0.044593,-0.012830,0.016099,-0.998793
0.468,True,-0.039959,1.116464,-0.033224,0.003205,0.006057,0.015761,-0.999852,True,0.017652,1.122490,-0.032753,0.039637,-0.014301,0.016099,-0.998982
0.479,True,-0.039958,1.116454,-0.033261,0.003330,0.005991,0.015832,-0.999851,True,0.017654,1.122472,-0.032799,0.039764,-0.014365,0.016170,-0.998975
0.490,True,-0.039936,1.116449,-0.033280,0.001931,0.006009,0.015878,-0.999854,True,0.017677,1.122461,-0.032824,0.039820,-0.014412,0.016221,-0.998971
0.501,True,-0.039916,1.116449,-0.033285,0.002056,0.005967,0.015817,-0.999855,True,0.017696,1.122468,-0.032835,0.047217,-0.012655,0.016166,-0.998674
0.513,True,-0.039903,1.116469,-0.033328,0.002246,0.005963,0.015808,-0.999855,True,0.017709,1.122489,-0.032881,0.047413,-0.012654,0.016160,-0.998665
0.524,True,-0.039893,1.116504,-0.033362,0.002156,0.007180,0.015833,-0.999847,True,0.017719,1.122520,-0.032913,0.047555,-0.012617,0.016203,-0.998658
0.535,True,-0.039880,1.116532,-0.033388,0.002190,0.007282,0.015915,-0.999844,True,0.017733,1.122538,-0.032927,0.045753,-0.012008,0.016279,-0.998748
0.546,True,-0.039883,1.116554,-0.033432,0.001271,0.007725,0.015990,-0.999842,True,0.017732,1.122550,-0.032965,0.045823,-0.011951,0.016366,-0.998744
0.557,True,-0.039881,1.116577,-0.033463,0.001348,0.007757,0.015981,-0.999841,True,0.017732,1.122575,-0.032994,0.045905,-0.011915,0.016360,-0.998741
0.568,True,-0.039866,1.116618,-0.033492,0.001358,0.007867,0.015931,-0.999841,True,0.017747,1.122622,-0.033010,0.047804,-0.012873,0.016334,-0.998640
0.579,True,-0.039868,1.116657,-0.033546,0.001384,0.007956,0.015961,-0.999840,True,0.017745,1.122658,-0.033054,0.047834,-0.012783,0.016368,-0.998639
0.591,True,-0.039867,1.116698,-0.033575,0.000176,0.006996,0.016042,-0.999847,True,0.017747,1.122690,-0.033076,0.047883,-0.012717,0.016447,-0.998637
0.603,True,-0.039860,1.116724,-0.033590,0.000288,0.007006,0.016104,-0.999846,True,0.017755,1.122709,-0.033091,0.048001,-0.012705,0.016512,-0.998630
0.613,True,-0.039863,1.116773,-0.033608,0.000338,0.006988,0.016196,-0.999844,True,0.017753,1.122747,-0.033111,0.050452,-0.012710,0.016612,-0.998507
0.624,True,-0.039852,1.116789,-0.033623,-0.000066,0.007084,0.016170,-0.999844,True,0.017764,1.122765,-0.033131,0.050584,-0.012738,0.016590,-0.998501
0.635,True,-0.039834,1.116786,-0.033635,0.000000,0.007110,0.016075,-0.999846,True,0.017781,1.122774,-0.033141,0.050660,-0.012703,0.016499,-0.998499
0.646,True,-0.039824,1.116796,-0.033675,-0.000027,0.007132,0.016086,-0.999845,True,0.017791,1.122782,-0.033178,0.047434,-0.013302,0.016507,-0.998649
0.658,True,-0.039083,1.122185,-0.032001,0.000366,0.007417,0.016063,-0.999843,True,0.017807,1.122761,-0.033208,0.047489,-0.013308,0.016487,-0.998647
0.669,True,-0.039049,1.122170,-0.032018,0.000376,0.007404,0.016142,-0.999842,True,0.017841,1.122736,-0.033226,0.036890,-0.020389,0.016606,-0.998973
0.680,True,-0.039028,1.122167,-0.032021,0.000400,0.007254,0.016255,-0.999842,True,0.017862,1.122720,-0.033246,0.036190,-0.021022,0.016716,-0.998984
