Timestamp,IsValid,CoordinateSystem,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW,EulerX,EulerY,EulerZ,VelocityValid,VelocityX,VelocityY,VelocityZ,AngularVelocityValid,AngularVelocityX,AngularVelocityY,AngularVelocityZ
0.000000,True,Device,0.009328,1.053153,0.002880,-0.041336,-0.003084,-0.004017,0.999133,355.260500,359.664800,359.553200,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.011520,True,Device,0.009326,1.053130,0.002901,-0.041239,-0.002969,-0.003975,0.999137,355.271700,359.677700,359.557400,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.021255,True,Device,0.009344,1.053103,0.002913,-0.041278,-0.003015,-0.004068,0.999135,355.267200,359.672900,359.546900,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.032333,True,Device,0.009334,1.053106,0.002940,-0.041203,-0.002887,-0.004250,0.999138,355.275800,359.688500,359.525400,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.043350,True,Device,0.009342,1.053082,0.002951,-0.041338,-0.002941,-0.004472,0.999131,355.260200,359.683300,359.500200,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.054581,True,Device,0.009336,1.053067,0.002969,-0.041351,-0.002865,-0.004639,0.999130,355.258700,359.692900,359.480700,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.065674,True,Device,0.009361,1.053091,0.002973,-0.041304,-0.002809,-0.004882,0.999131,355.264000,359.700400,359.452500,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.076859,True,Device,0.009364,1.053107,0.002983,-0.041317,-0.002791,-0.005113,0.999129,355.262500,359.703600,359.425900,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.089493,True,Device,0.009358,1.053105,0.002991,-0.041470,-0.002826,-0.005210,0.999122,355.244900,359.700200,359.414900,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.099045,True,Device,0.009368,1.053130,0.002995,-0.041438,-0.002867,-0.005208,0.999124,355.248600,359.695400,359.415400,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.110062,True,Device,0.009362,1.053127,0.003003,-0.041405,-0.002828,-0.005266,0.999125,355.252400,359.700100,359.408500,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.121185,True,Device,0.009342,1.053089,0.003010,-0.041283,-0.002759,-0.005164,0.999130,355.266400,359.707500,359.419900,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.132355,True,Device,0.009332,1.053063,0.002989,-0.041190,-0.002696,-0.005112,0.999135,355.277100,359.714500,359.425500,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.143524,True,Device,0.009322,1.052997,0.002965,-0.040941,-0.002663,-0.005063,0.999145,355.305700,359.718000,359.430900,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.154511,True,Device,0.009306,1.052917,0.002953,-0.040649,-0.002692,-0.004990,0.999157,355.339200,359.714100,359.439300,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.165680,True,Device,0.009299,1.052878,0.002938,-0.040354,-0.002734,-0.004857,0.999170,355.373000,359.708500,359.454700,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.176804,True,Device,0.009276,1.052814,0.002929,-0.040309,-0.002852,-0.004720,0.999172,355.378300,359.694200,359.471000,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.187882,True,Device,0.009241,1.052771,0.002938,-0.040185,-0.002947,-0.004617,0.999177,355.392400,359.682800,359.483300,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.198990,True,Device,0.009230,1.052761,0.002934,-0.040081,-0.003096,-0.004547,0.999181,355.404300,359.665300,359.491900,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.210037,True,Device,0.009184,1.052765,0.002953,-0.040066,-0.003184,-0.004516,0.999182,355.406000,359.655000,359.495900,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.221207,True,Device,0.009155,1.052758,0.002968,-0.040203,-0.003350,-0.004498,0.999176,355.390100,359.636000,359.498800,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.232346,True,Device,0.009178,1.052805,0.002967,-0.040461,-0.003592,-0.004490,0.999165,355.360500,359.608300,359.500900,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.243607,True,Device,0.009127,1.052804,0.002982,-0.040446,-0.003625,-0.004436,0.999165,355.362200,359.604200,359.507300,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.254593,True,Device,0.009113,1.052820,0.002996,-0.040560,-0.003789,-0.004536,0.999160,355.349000,359.585900,359.496600,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.265610,True,Device,0.009127,1.052832,0.003013,-0.040623,-0.003914,-0.004646,0.999156,355.341700,359.572100,359.484600,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.276779,True,Device,0.009125,1.052843,0.003030,-0.040609,-0.003997,-0.004716,0.999156,355.343200,359.562900,359.476900,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.287811,True,Device,0.009123,1.052854,0.003043,-0.040779,-0.004033,-0.004969,0.999148,355.323600,359.560000,359.448100,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
