Timestamp,HumanMPositionX,HumanMPositionY,HumanMPositionZ,BallPositionX,BallPositionY,BallPositionZ,Ball2PositionX,Ball2PositionY,Ball2PositionZ
0.034900,4.990000,0.978000,4.450000,,,,,,
0.055000,,,,-0.669981,2.404362,3.754031,-1.000675,2.387913,1.109189
0.077100,4.990000,0.978000,4.450000,,,,,,
0.110400,,,,-0.467782,2.453014,3.677234,-0.981428,2.421473,1.327486
0.121600,4.990000,0.978000,4.450000,,,,,,
0.166100,4.990000,0.978000,4.450000,-0.263991,2.495341,3.599833,-0.962133,2.453905,1.546337
0.199400,4.990000,0.978000,4.450000,,,,,,
0.221600,,,,-0.056559,2.526157,3.521049,-0.942645,2.484944,1.767376
0.232800,4.990000,0.978000,4.450000,,,,,,
0.266100,4.990000,0.978000,4.450000,,,,,,
0.277200,,,,0.149640,2.540204,3.442733,-0.923385,2.513010,1.985816
0.299500,4.990000,0.978000,4.450000,,,,,,
0.332800,,,,0.357082,2.535407,3.363945,-0.904008,2.537719,2.205600
0.343900,4.990000,0.978000,4.450000,,,,,,
0.388200,4.990000,0.978000,4.450000,0.563275,2.512062,3.285631,-0.884606,2.558075,2.425658
0.421500,4.990000,0.978000,4.450000,,,,,,
0.443800,,,,0.768144,2.472708,3.207820,-0.865094,2.573388,2.646957
0.466000,4.990000,0.978000,4.450000,,,,,,
0.499500,4.990000,0.978000,4.450000,0.970086,2.421729,3.131121,-0.845618,2.582949,2.867856
0.532800,4.990000,0.978000,4.450000,,,,,,
0.555000,,,,1.091006,2.387088,3.086641,-0.820749,2.584768,3.088599
0.577200,4.990000,0.978000,4.450000,,,,,,
0.610400,,,,1.091006,2.387088,3.086641,-0.797837,2.578407,3.310318
0.621600,4.990000,0.978000,4.450000,,,,,,
0.666100,4.990000,0.978000,4.450000,1.091006,2.387088,3.086641,-0.785393,2.563789,3.530848
0.699400,4.990000,0.978000,4.450000,,,,,,
0.721600,,,,1.091006,2.387088,3.086641,-0.782650,2.539519,3.751727
0.732800,4.990000,0.978000,4.450000,,,,,,
0.766100,4.990000,0.978000,4.450000,,,,,,
0.777200,,,,0.971373,2.417285,3.127640,-0.783402,2.506701,3.971787
0.799500,4.990000,0.978000,4.450000,,,,,,
0.832800,,,,0.765917,2.466812,3.195408,-0.776827,2.467315,4.190080
0.843700,4.990000,0.978000,4.450000,,,,,,
0.877000,4.990000,0.978000,4.450000,,,,,,
0.888400,,,,0.557355,2.511294,3.256768,-0.770633,2.421780,4.407171
0.910600,4.990000,0.978000,4.450000,,,,,,
0.948200,4.990000,0.978000,4.450000,0.342588,2.542816,3.307521,-0.768146,2.371137,4.624334
0.981700,4.990000,0.978000,4.450000,,,,,,
1.003800,,,,0.105550,2.548397,3.342521,-0.761985,2.354681,4.683434
1.025900,4.990000,0.978000,4.450000,,,,,,
1.059400,4.990000,0.978000,4.450000,-0.109328,2.502285,3.364617,-0.761985,2.354681,4.683434
1.103900,4.990000,0.978000,4.450000,,,,,,
1.114900,,,,-0.275809,2.423009,3.375102,-0.761985,2.354681,4.683434
1.148300,4.990000,0.978000,4.450000,,,,,,
1.170500,,,,-0.405065,2.336675,3.353547,-0.763611,2.361533,4.640296
1.181600,4.990000,0.978000,4.450000,,,,,,
1.215000,4.990000,0.978000,4.450000,,,,,,
1.226000,,,,-0.465334,2.291544,3.321096,-0.771048,2.394542,4.420277
1.259200,4.990000,0.978000,4.450000,,,,,,
1.281600,,,,-0.465334,2.291544,3.321096,-0.777879,2.423650,4.199891
1.292700,4.990000,0.978000,4.450000,,,,,,
1.337100,4.990000,0.978000,4.450000,-0.465334,2.291544,3.321096,-0.784758,2.447768,3.980113
1.370500,4.990000,0.978000,4.450000,,,,,,
1.392700,,,,-0.465334,2.291544,3.321096,-0.792166,2.467345,3.758753
1.415000,4.990000,0.978000,4.450000,,,,,,
1.448200,,,,-0.357344,2.327991,3.383877,-0.799943,2.480212,3.537040
1.459300,4.990000,0.978000,4.450000,,,,,,
1.492700,4.990000,0.978000,4.450000,,,,,,
1.503700,,,,-0.175548,2.389291,3.496863,-0.808256,2.483488,3.314571
1.537100,4.990000,0.978000,4.450000,,,,,,
1.559300,,,,-0.001321,2.444999,3.622959,-0.813669,2.473501,3.092684
1.581600,4.990000,0.978000,4.450000,,,,,,
1.615100,4.990000,0.978000,4.450000,0.167918,2.484379,3.761342,-0.814246,2.444366,2.872448
1.648600,4.990000,0.978000,4.450000,,,,,,
1.670700,,,,0.331559,2.491654,3.913765,-0.801745,2.387756,2.656232
1.682600,4.990000,0.978000,4.450000,,,,,,
1.726000,4.990000,0.978000,4.450000,0.478950,2.455672,4.076083,-0.808296,2.310493,2.475871
1.770400,4.990000,0.978000,4.450000,,,,,,
1.781500,,,,0.591748,2.390692,4.234698,-0.850365,2.239774,2.353742
1.803800,4.990000,0.978000,4.450000,,,,,,
1.837100,,,,0.657022,2.317117,4.361927,-0.900734,2.162415,2.242970
1.848200,4.990000,0.978000,4.450000,,,,,,
1.881700,4.990000,0.978000,4.450000,,,,,,
1.892700,,,,0.665730,2.301795,4.387579,-0.948697,2.104148,2.163325
1.915000,4.990000,0.978000,4.450000,,,,,,
1.948200,,,,0.665730,2.301795,4.387579,-0.948697,2.104148,2.163325
1.959400,4.990000,0.978000,4.450000,,,,,,
1.993700,4.990000,0.978000,4.450000,,,,,,
2.004200,,,,0.665730,2.301795,4.387579,-0.948697,2.104148,2.163325
2.037500,4.990000,0.978000,4.450000,,,,,,
2.059600,,,,0.668385,2.310518,4.354189,-0.948697,2.104148,2.163325
2.070900,4.990000,0.978000,4.450000,,,,,,
2.115000,4.990000,0.978000,4.450000,0.681862,2.360792,4.140341,-0.840248,2.156725,2.193079
2.159300,4.990000,0.978000,4.450000,,,,,,
2.170500,,,,0.689699,2.388813,3.920443,-0.644300,2.246286,2.246818
2.192700,4.990000,0.978000,4.450000,,,,,,
2.225900,,,,0.692227,2.368996,3.700013,-0.442911,2.315605,2.308289
2.237100,4.990000,0.978000,4.450000,,,,,,
2.270400,4.990000,0.978000,4.450000,,,,,,
2.281600,,,,0.692457,2.304627,3.487335,-0.237887,2.343586,2.388527
2.304100,4.990000,0.978000,4.450000,,,,,,
2.337200,,,,0.700795,2.213783,3.283928,-0.034694,2.331525,2.479344
2.348300,4.990000,0.978000,4.450000,,,,,,
2.381600,4.990000,0.978000,4.450000,,,,,,
2.393000,,,,0.724518,2.106387,3.091467,0.164607,2.295273,2.569331
2.415000,4.990000,0.978000,4.450000,,,,,,
2.448200,,,,0.724518,2.106387,3.091467,0.262299,2.274689,2.613879
2.459400,4.990000,0.978000,4.450000,,,,,,
2.492700,4.990000,0.978000,4.450000,,,,,,
2.503800,,,,0.724518,2.106387,3.091467,0.262299,2.274689,2.613879
2.537000,4.990000,0.978000,4.450000,,,,,,
2.554300,,,,0.724518,2.106387,3.091467,0.262299,2.274689,2.613879
2.575800,4.990000,0.978000,4.450000,,,,,,
2.609000,,,,0.686183,2.121437,3.093460,0.262299,2.274689,2.613879
2.620200,4.990000,0.978000,4.450000,,,,,,
2.654000,4.990000,0.978000,4.450000,,,,,,
2.664600,,,,0.477424,2.197779,3.108906,0.180749,2.312359,2.710965
