Timestamp,LeftGazeValid,LeftGazePosX,LeftGazePosY,LeftGazePosZ,LeftGazeRotX,LeftGazeRotY,LeftGazeRotZ,LeftGazeRotW,RightGazeValid,RightGazePosX,RightGazePosY,RightGazePosZ,RightGazeRotX,RightGazeRotY,RightGazeRotZ,RightGazeRotW,LeftDiameterValid,LeftPupilDiameter,LeftPositionValid,LeftPupilPosX,LeftPupilPosY,RightDiameterValid,RightPupilDiameter,RightPositionValid,RightPupilPosX,RightPupilPosY,AnchorIndex,HumanMPositionX,HumanMPositionY,HumanMPositionZ,BallPositionX,BallPositionY,BallPositionZ,CubeHumanPositionX,CubeHumanPositionY,CubeHumanPositionZ
0.034025,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.037051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.050257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.002251,2.384851,1.091313,,,
0.068311,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.070923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.100495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.984347,2.415005,1.294379,,,
0.102144,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.105385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.137071,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.140822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.150636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.966858,2.440963,1.492746,,,
0.171881,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.174880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.201257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.949161,2.462142,1.693460,,,
0.206036,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.208381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.240742,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.242837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.256466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.931221,2.477297,1.896945,,,
0.274647,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.276266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.307254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.912010,2.485922,2.114828,,,
0.308905,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.311015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.342829,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.345413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.357288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.894424,2.487129,2.314297,,,
0.377385,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.380640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.408266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.876614,2.482457,2.516297,,,
0.411552,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.415032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.446411,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.448628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.458360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.866932,2.477764,2.626109,,,
0.481307,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.482393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.510091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.866932,2.477764,2.626109,,,
0.516084,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,4.990000,0.978000,4.450000
0.516545,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,4.990000,0.978000,4.450000
0.550304,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,4.990000,0.978000,4.450000
0.550908,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,4.990000,0.978000,4.450000
0.560678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.866932,2.477764,2.626109,,,
0.584764,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.588699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.610736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.866932,2.477764,2.626109,,,
0.620082,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.623207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.654056,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.656776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.661116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.874620,2.497837,2.534842,,,
0.690909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
