Timestamp,LeftGazeValid,LeftGazePosX,LeftGazePosY,LeftGazePosZ,LeftGazeRotX,LeftGazeRotY,LeftGazeRotZ,LeftGazeRotW,RightGazeValid,RightGazePosX,RightGazePosY,RightGazePosZ,RightGazeRotX,RightGazeRotY,RightGazeRotZ,RightGazeRotW,LeftDiameterValid,LeftPupilDiameter,LeftPositionValid,LeftPupilPosX,LeftPupilPosY,RightDiameterValid,RightPupilDiameter,RightPositionValid,RightPupilPosX,RightPupilPosY,AnchorIndex,HMDIsValid,HMDCoordinateSystem,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW,HMDEulerX,HMDEulerY,HMDEulerZ,HMDVelocityValid,HMDVelocityX,HMDVelocityY,HMDVelocityZ,HMDAngularVelocityValid,HMDAngularVelocityX,HMDAngularVelocityY,HMDAngularVelocityZ,HumanMPositionX,HumanMPositionY,HumanMPositionZ,BallPositionX,BallPositionY,BallPositionZ,Ball2PositionX,Ball2PositionY,Ball2PositionZ,CubeHumanPositionX,CubeHumanPositionY,CubeHumanPositionZ
0.000000,True,-0.071131,1.020714,0.221250,0.018079,0.077024,-0.023046,-0.996599,True,-0.006334,1.022966,0.216636,-0.033237,-0.078483,-0.014168,-0.996261,True,4.000,True,0.509647,0.457747,True,4.000,True,0.545388,0.382829,0,True,Device,-0.037228,1.023281,0.233844,-0.045766,0.036671,0.019445,0.998090,354.676200,4.113401,2.040915,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,0.000000,0.000000,0.000000
0.027153,True,-0.071131,1.020714,0.221250,0.017619,0.072231,-0.022819,-0.996971,True,-0.006334,1.022966,0.216636,-0.034137,-0.084640,-0.013846,-0.995730,True,4.000,True,0.513000,0.458101,True,4.000,True,0.548246,0.380504,,True,Device,-0.037720,1.023222,0.233845,-0.045502,0.034688,0.018937,0.998182,354.712500,3.888491,1.994085,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.034865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,,,,
0.037059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.046290,True,-0.073466,1.020466,0.220661,0.016539,0.072766,-0.020555,-0.997000,True,-0.008597,1.022505,0.217081,-0.035471,-0.077180,-0.012472,-0.996308,True,4.000,True,0.516631,0.459038,True,4.000,True,0.548246,0.380504,,True,Device,-0.040251,1.022830,0.233790,-0.044441,0.026824,0.016897,0.998509,354.856100,2.996630,1.804379,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.053533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.654918,2.408145,3.748310,-0.999209,2.390551,1.125813,,,
0.064274,True,-0.074716,1.020183,0.220263,0.014899,0.075452,-0.018648,-0.996864,True,-0.009818,1.022013,0.217122,-0.038041,-0.078573,-0.010810,-0.996124,True,4.000,True,0.516631,0.459038,True,4.000,True,0.551730,0.378316,,True,Device,-0.041580,1.022387,0.233621,-0.042653,0.023553,0.015101,0.998698,355.071800,2.632252,1.619334,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.073382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.075365,True,-0.075379,1.020004,0.220010,0.013846,0.076712,-0.017391,-0.996806,True,-0.010466,1.021694,0.217093,-0.039382,-0.077355,-0.009813,-0.996177,True,4.000,True,0.516631,0.459038,True,4.000,True,0.551730,0.378316,,True,Device,-0.042284,1.022102,0.233486,-0.041505,0.021888,0.013927,0.998802,355.209100,2.448267,1.495338,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,4.990000,0.978000,4.450000,,,,,,,,,
0.086631,True,-0.075839,1.019846,0.219857,0.010296,0.070190,-0.016021,-0.997352,True,-0.010919,1.021418,0.217042,-0.040525,-0.077431,-0.008924,-0.996134,True,4.000,True,0.520093,0.460369,True,4.000,True,0.551730,0.378316,,True,Device,-0.042761,1.021858,0.233386,-0.040626,0.021155,0.012967,0.998866,355.313200,2.369706,1.390577,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
