Timestamp,LeftGazeValid,LeftGazePosX,LeftGazePosY,LeftGazePosZ,LeftGazeRotX,LeftGazeRotY,LeftGazeRotZ,LeftGazeRotW,RightGazeValid,RightGazePosX,RightGazePosY,RightGazePosZ,RightGazeRotX,RightGazeRotY,RightGazeRotZ,RightGazeRotW,LeftDiameterValid,LeftPupilDiameter,LeftPositionValid,LeftPupilPosX,LeftPupilPosY,RightDiameterValid,RightPupilDiameter,RightPositionValid,RightPupilPosX,RightPupilPosY,AnchorIndex,HMDIsValid,HMDCoordinateSystem,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW,HMDEulerX,HMDEulerY,HMDEulerZ,BallPositionX,BallPositionY,BallPositionZ,Ball2PositionX,Ball2PositionY,Ball2PositionZ,CubeHumanPositionX,CubeHumanPositionY,CubeHumanPositionZ
0.000000,True,-0.041262,1.128327,-0.054386,0.053903,0.037432,-0.000693,-0.997844,True,0.030689,1.133254,-0.055035,0.024256,-0.018240,0.004607,-0.999529,True,3.329,True,0.472372,0.526119,True,3.341,True,0.515918,0.549180,0,True,Device,-0.003882,1.126250,-0.066848,-0.094269,0.000780,-0.002887,0.995542,349.181900,0.122353,359.656100,,,,,,,0.000000,0.000000,0.000000
0.010712,True,-0.041300,1.128328,-0.054407,0.053910,0.037453,-0.000923,-0.997843,True,0.030648,1.133289,-0.055055,0.024276,-0.018231,0.004378,-0.999530,True,3.329,True,0.472372,0.526119,True,3.341,True,0.515918,0.549180,,True,Device,-0.003919,1.126268,-0.066869,-0.094282,0.000757,-0.002659,0.995542,349.180300,0.117126,359.682800,,,,,,,,,
0.020981,True,-0.041331,1.128321,-0.054462,0.053840,0.037487,-0.001114,-0.997845,True,0.030615,1.133309,-0.055108,0.024294,-0.018185,0.004180,-0.999531,True,3.329,True,0.472372,0.526119,True,3.341,True,0.515823,0.549069,,True,Device,-0.003949,1.126276,-0.066923,-0.094218,0.000719,-0.002467,0.995548,349.187700,0.110658,359.705600,,,,,,,,,
0.031967,True,-0.041362,1.128323,-0.054490,0.055120,0.036327,-0.001216,-0.997818,True,0.030583,1.133342,-0.055135,0.024301,-0.018171,0.003967,-0.999532,True,3.329,True,0.472609,0.526206,True,3.341,True,0.515823,0.549069,,True,Device,-0.003978,1.126294,-0.066951,-0.094216,0.000695,-0.002256,0.995549,349.187800,0.105525,359.730400,,,,,,,,,
0.043106,True,-0.041367,1.128362,-0.054509,0.055174,0.036282,-0.001294,-0.997817,True,0.030577,1.133391,-0.055162,0.024359,-0.018222,0.003894,-0.999530,True,3.329,True,0.472609,0.526206,True,3.341,True,0.515823,0.549069,,True,Device,-0.003984,1.126338,-0.066973,-0.094270,0.000743,-0.002178,0.995544,349.181600,0.110188,359.738900,,,,,,,,,
0.054169,True,-0.041347,1.128409,-0.054541,0.055279,0.036175,-0.001165,-0.997815,True,0.030598,1.133418,-0.055210,0.024292,-0.018437,0.004042,-0.999527,True,3.329,True,0.472609,0.526206,True,3.341,True,0.516261,0.548968,,True,Device,-0.003967,1.126372,-0.067012,-0.094367,0.000858,-0.002306,0.995534,349.170500,0.125072,359.722700,,,,,,,,,
0.070816,True,-0.041291,1.128528,-0.054526,0.056567,0.036208,-0.000935,-0.997742,True,0.030657,1.133501,-0.055204,0.024604,-0.018482,0.004301,-0.999517,True,3.329,True,0.473102,0.526062,True,3.341,True,0.516261,0.548968,,True,Device,-0.003914,1.126464,-0.067000,-0.094677,0.000925,-0.002556,0.995504,349.134900,0.135729,359.692900,,,,,,,,,
0.081848,True,-0.041272,1.128577,-0.054549,0.056687,0.036156,-0.000822,-0.997737,True,0.030677,1.133531,-0.055236,0.024478,-0.018292,0.004399,-0.999523,True,3.329,True,0.473102,0.526062,True,3.341,True,0.516256,0.548940,,True,Device,-0.003897,1.126501,-0.067026,-0.094786,0.000991,-0.002671,0.995494,349.122400,0.144615,359.678800,,,,,,,,,
0.092941,True,-0.041231,1.128607,-0.054572,0.056909,0.036118,-0.000659,-0.997726,True,0.030720,1.133537,-0.055267,0.024690,-0.018326,0.004575,-0.999517,True,3.329,True,0.473102,0.526062,True,3.341,True,0.516256,0.548940,,True,Device,-0.003857,1.126513,-0.067051,-0.094997,0.001039,-0.002840,0.995473,349.098100,0.152214,359.658500,,,,,,,,,
0.104111,True,-0.041205,1.128640,-0.054517,0.057513,0.035968,-0.000543,-0.997697,True,0.030747,1.133552,-0.055227,0.024717,-0.018435,0.004693,-0.999514,True,3.329,True,0.472946,0.526224,True,3.341,True,0.516256,0.548940,,True,Device,-0.003834,1.126536,-0.067003,-0.095024,0.001159,-0.002950,0.995470,349.095100,0.167304,359.644400,,,,,,,,,
